id,original_id,split,target_prefix_ratio,visible_ratio,prefix_tokens,total_tokens,hidden_tokens,prefix_utterance,masked_utterance,full_utterance,full_label,label,label_source
deepseek3000-02617__p080,deepseek3000-02617,train,0.80,0.833333,5,6,1,Demonstrate how to do jumping,Demonstrate how to do jumping <MASK>,Demonstrate how to do jumping jacks.,motion_query,motion_query,motion_cue_seen
deepseek3000-02617__p100,deepseek3000-02617,train,1.00,1.000000,6,6,0,Demonstrate how to do jumping jacks.,Demonstrate how to do jumping jacks.,Demonstrate how to do jumping jacks.,motion_query,motion_query,complete_input
deepseek3000-02629__p020,deepseek3000-02629,train,0.20,0.333333,2,6,4,How do,How do <MASK> <MASK> <MASK> <MASK>,How do I boil an egg?,chat,chat,text_cue_seen
deepseek3000-02629__p040,deepseek3000-02629,train,0.40,0.500000,3,6,3,How do I,How do I <MASK> <MASK> <MASK>,How do I boil an egg?,chat,chat,text_cue_seen
deepseek3000-02629__p060,deepseek3000-02629,train,0.60,0.666667,4,6,2,How do I boil,How do I boil <MASK> <MASK>,How do I boil an egg?,chat,chat,text_cue_seen
deepseek3000-02629__p080,deepseek3000-02629,train,0.80,0.833333,5,6,1,How do I boil an,How do I boil an <MASK>,How do I boil an egg?,chat,chat,text_cue_seen
deepseek3000-02629__p100,deepseek3000-02629,train,1.00,1.000000,6,6,0,How do I boil an egg?,How do I boil an egg?,How do I boil an egg?,chat,chat,complete_input
deepseek3000-00324__p020,deepseek3000-00324,train,0.20,0.200000,1,5,4,Hold,Hold <MASK> <MASK> <MASK> <MASK>,Hold this bag for me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00324__p040,deepseek3000-00324,train,0.40,0.400000,2,5,3,Hold this,Hold this <MASK> <MASK> <MASK>,Hold this bag for me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00324__p060,deepseek3000-00324,train,0.60,0.600000,3,5,2,Hold this bag,Hold this bag <MASK> <MASK>,Hold this bag for me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00324__p080,deepseek3000-00324,train,0.80,0.800000,4,5,1,Hold this bag for,Hold this bag for <MASK>,Hold this bag for me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00324__p100,deepseek3000-00324,train,1.00,1.000000,5,5,0,Hold this bag for me.,Hold this bag for me.,Hold this bag for me.,motion_query,motion_query,complete_input
deepseek3000-01300__p020,deepseek3000-01300,train,0.20,0.333333,2,6,4,How many,How many <MASK> <MASK> <MASK> <MASK>,How many languages can you understand?,chat,chat,text_cue_seen
deepseek3000-01300__p040,deepseek3000-01300,train,0.40,0.500000,3,6,3,How many languages,How many languages <MASK> <MASK> <MASK>,How many languages can you understand?,chat,chat,text_cue_seen
deepseek3000-01300__p060,deepseek3000-01300,train,0.60,0.666667,4,6,2,How many languages can,How many languages can <MASK> <MASK>,How many languages can you understand?,chat,chat,text_cue_seen
deepseek3000-01300__p080,deepseek3000-01300,train,0.80,0.833333,5,6,1,How many languages can you,How many languages can you <MASK>,How many languages can you understand?,chat,chat,text_cue_seen
deepseek3000-01300__p100,deepseek3000-01300,train,1.00,1.000000,6,6,0,How many languages can you understand?,How many languages can you understand?,How many languages can you understand?,chat,chat,complete_input
deepseek3000-02761__p020,deepseek3000-02761,train,0.20,0.200000,1,5,4,Act,Act <MASK> <MASK> <MASK> <MASK>,Act out eating an apple.,motion_query,wait,motion_cue_not_seen
deepseek3000-02761__p040,deepseek3000-02761,train,0.40,0.400000,2,5,3,Act out,Act out <MASK> <MASK> <MASK>,Act out eating an apple.,motion_query,motion_query,motion_cue_seen
deepseek3000-02761__p060,deepseek3000-02761,train,0.60,0.600000,3,5,2,Act out eating,Act out eating <MASK> <MASK>,Act out eating an apple.,motion_query,motion_query,motion_cue_seen
deepseek3000-02761__p080,deepseek3000-02761,train,0.80,0.800000,4,5,1,Act out eating an,Act out eating an <MASK>,Act out eating an apple.,motion_query,motion_query,motion_cue_seen
deepseek3000-02761__p100,deepseek3000-02761,train,1.00,1.000000,5,5,0,Act out eating an apple.,Act out eating an apple.,Act out eating an apple.,motion_query,motion_query,complete_input
deepseek3000-02580__p020,deepseek3000-02580,train,0.20,0.200000,1,5,4,Point,Point <MASK> <MASK> <MASK> <MASK>,Point to the nearest exit.,motion_query,motion_query,motion_cue_seen
deepseek3000-02580__p040,deepseek3000-02580,train,0.40,0.400000,2,5,3,Point to,Point to <MASK> <MASK> <MASK>,Point to the nearest exit.,motion_query,motion_query,motion_cue_seen
deepseek3000-02580__p060,deepseek3000-02580,train,0.60,0.600000,3,5,2,Point to the,Point to the <MASK> <MASK>,Point to the nearest exit.,motion_query,motion_query,motion_cue_seen
deepseek3000-02580__p080,deepseek3000-02580,train,0.80,0.800000,4,5,1,Point to the nearest,Point to the nearest <MASK>,Point to the nearest exit.,motion_query,motion_query,motion_cue_seen
deepseek3000-02580__p100,deepseek3000-02580,train,1.00,1.000000,5,5,0,Point to the nearest exit.,Point to the nearest exit.,Point to the nearest exit.,motion_query,motion_query,complete_input
deepseek3000-01938__p020,deepseek3000-01938,train,0.20,0.200000,2,10,8,My computer,My computer <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,My computer won't turn on. What should I check first?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01938__p040,deepseek3000-01938,train,0.40,0.400000,4,10,6,My computer won't turn,My computer won't turn <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,My computer won't turn on. What should I check first?,chat,wait,potential_motion_ambiguity
deepseek3000-01938__p060,deepseek3000-01938,train,0.60,0.600000,6,10,4,My computer won't turn on. What,My computer won't turn on. What <MASK> <MASK> <MASK> <MASK>,My computer won't turn on. What should I check first?,chat,wait,potential_motion_ambiguity
deepseek3000-01938__p080,deepseek3000-01938,train,0.80,0.800000,8,10,2,My computer won't turn on. What should I,My computer won't turn on. What should I <MASK> <MASK>,My computer won't turn on. What should I check first?,chat,wait,potential_motion_ambiguity
deepseek3000-01938__p100,deepseek3000-01938,train,1.00,1.000000,10,10,0,My computer won't turn on. What should I check first?,My computer won't turn on. What should I check first?,My computer won't turn on. What should I check first?,chat,chat,complete_input
deepseek3000-02590__p020,deepseek3000-02590,train,0.20,0.285714,2,7,5,Gently push,Gently push <MASK> <MASK> <MASK> <MASK> <MASK>,Gently push the chair under the desk.,motion_query,motion_query,motion_cue_seen
deepseek3000-02590__p040,deepseek3000-02590,train,0.40,0.428571,3,7,4,Gently push the,Gently push the <MASK> <MASK> <MASK> <MASK>,Gently push the chair under the desk.,motion_query,motion_query,motion_cue_seen
deepseek3000-02590__p060,deepseek3000-02590,train,0.60,0.714286,5,7,2,Gently push the chair under,Gently push the chair under <MASK> <MASK>,Gently push the chair under the desk.,motion_query,motion_query,motion_cue_seen
deepseek3000-02590__p080,deepseek3000-02590,train,0.80,0.857143,6,7,1,Gently push the chair under the,Gently push the chair under the <MASK>,Gently push the chair under the desk.,motion_query,motion_query,motion_cue_seen
deepseek3000-02590__p100,deepseek3000-02590,train,1.00,1.000000,7,7,0,Gently push the chair under the desk.,Gently push the chair under the desk.,Gently push the chair under the desk.,motion_query,motion_query,complete_input
deepseek3000-00089__p020,deepseek3000-00089,train,0.20,0.200000,1,5,4,Hand,Hand <MASK> <MASK> <MASK> <MASK>,Hand me the red folder.,motion_query,wait,motion_cue_not_seen
deepseek3000-00089__p040,deepseek3000-00089,train,0.40,0.400000,2,5,3,Hand me,Hand me <MASK> <MASK> <MASK>,Hand me the red folder.,motion_query,motion_query,motion_cue_seen
deepseek3000-00089__p060,deepseek3000-00089,train,0.60,0.600000,3,5,2,Hand me the,Hand me the <MASK> <MASK>,Hand me the red folder.,motion_query,motion_query,motion_cue_seen
deepseek3000-00089__p080,deepseek3000-00089,train,0.80,0.800000,4,5,1,Hand me the red,Hand me the red <MASK>,Hand me the red folder.,motion_query,motion_query,motion_cue_seen
deepseek3000-00089__p100,deepseek3000-00089,train,1.00,1.000000,5,5,0,Hand me the red folder.,Hand me the red folder.,Hand me the red folder.,motion_query,motion_query,complete_input
deepseek3000-02660__p020,deepseek3000-02660,train,0.20,0.333333,2,6,4,How far,How far <MASK> <MASK> <MASK> <MASK>,How far away is the sun?,chat,chat,text_cue_seen
deepseek3000-02660__p040,deepseek3000-02660,train,0.40,0.500000,3,6,3,How far away,How far away <MASK> <MASK> <MASK>,How far away is the sun?,chat,chat,text_cue_seen
deepseek3000-02660__p060,deepseek3000-02660,train,0.60,0.666667,4,6,2,How far away is,How far away is <MASK> <MASK>,How far away is the sun?,chat,chat,text_cue_seen
deepseek3000-02660__p080,deepseek3000-02660,train,0.80,0.833333,5,6,1,How far away is the,How far away is the <MASK>,How far away is the sun?,chat,chat,text_cue_seen
deepseek3000-02660__p100,deepseek3000-02660,train,1.00,1.000000,6,6,0,How far away is the sun?,How far away is the sun?,How far away is the sun?,chat,chat,complete_input
deepseek3000-00514__p020,deepseek3000-00514,train,0.20,0.285714,2,7,5,Raise your,Raise your <MASK> <MASK> <MASK> <MASK> <MASK>,Raise your left arm if you agree.,motion_query,motion_query,motion_cue_seen
deepseek3000-00514__p040,deepseek3000-00514,train,0.40,0.428571,3,7,4,Raise your left,Raise your left <MASK> <MASK> <MASK> <MASK>,Raise your left arm if you agree.,motion_query,motion_query,motion_cue_seen
deepseek3000-00514__p060,deepseek3000-00514,train,0.60,0.714286,5,7,2,Raise your left arm if,Raise your left arm if <MASK> <MASK>,Raise your left arm if you agree.,motion_query,motion_query,motion_cue_seen
deepseek3000-00514__p080,deepseek3000-00514,train,0.80,0.857143,6,7,1,Raise your left arm if you,Raise your left arm if you <MASK>,Raise your left arm if you agree.,motion_query,motion_query,motion_cue_seen
deepseek3000-00514__p100,deepseek3000-00514,train,1.00,1.000000,7,7,0,Raise your left arm if you agree.,Raise your left arm if you agree.,Raise your left arm if you agree.,motion_query,motion_query,complete_input
deepseek3000-00637__p020,deepseek3000-00637,train,0.20,0.250000,1,4,3,Stretch,Stretch <MASK> <MASK> <MASK>,Stretch your arms forward.,motion_query,wait,motion_cue_not_seen
deepseek3000-00637__p040,deepseek3000-00637,train,0.40,0.500000,2,4,2,Stretch your,Stretch your <MASK> <MASK>,Stretch your arms forward.,motion_query,wait,motion_cue_not_seen
deepseek3000-00637__p060,deepseek3000-00637,train,0.60,0.750000,3,4,1,Stretch your arms,Stretch your arms <MASK>,Stretch your arms forward.,motion_query,wait,motion_cue_not_seen
deepseek3000-00637__p080,deepseek3000-00637,train,0.80,1.000000,4,4,0,Stretch your arms forward.,Stretch your arms forward.,Stretch your arms forward.,motion_query,motion_query,complete_input
deepseek3000-00637__p100,deepseek3000-00637,train,1.00,1.000000,4,4,0,Stretch your arms forward.,Stretch your arms forward.,Stretch your arms forward.,motion_query,motion_query,complete_input
deepseek3000-00376__p020,deepseek3000-00376,train,0.20,0.285714,2,7,5,Give me,Give me <MASK> <MASK> <MASK> <MASK> <MASK>,Give me a summary of this article.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00376__p040,deepseek3000-00376,train,0.40,0.428571,3,7,4,Give me a,Give me a <MASK> <MASK> <MASK> <MASK>,Give me a summary of this article.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00376__p060,deepseek3000-00376,train,0.60,0.714286,5,7,2,Give me a summary of,Give me a summary of <MASK> <MASK>,Give me a summary of this article.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00376__p080,deepseek3000-00376,train,0.80,0.857143,6,7,1,Give me a summary of this,Give me a summary of this <MASK>,Give me a summary of this article.,chat,chat,high_ratio_no_motion_cue
deepseek3000-00376__p100,deepseek3000-00376,train,1.00,1.000000,7,7,0,Give me a summary of this article.,Give me a summary of this article.,Give me a summary of this article.,chat,chat,complete_input
deepseek3000-02312__p020,deepseek3000-02312,train,0.20,0.230769,3,13,10,Can you give,Can you give <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Can you give me a verbal tutorial on how to change a tire?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02312__p040,deepseek3000-02312,train,0.40,0.461538,6,13,7,Can you give me a verbal,Can you give me a verbal <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Can you give me a verbal tutorial on how to change a tire?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02312__p060,deepseek3000-02312,train,0.60,0.615385,8,13,5,Can you give me a verbal tutorial on,Can you give me a verbal tutorial on <MASK> <MASK> <MASK> <MASK> <MASK>,Can you give me a verbal tutorial on how to change a tire?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02312__p080,deepseek3000-02312,train,0.80,0.846154,11,13,2,Can you give me a verbal tutorial on how to change,Can you give me a verbal tutorial on how to change <MASK> <MASK>,Can you give me a verbal tutorial on how to change a tire?,chat,chat,text_cue_seen
deepseek3000-02312__p100,deepseek3000-02312,train,1.00,1.000000,13,13,0,Can you give me a verbal tutorial on how to change a tire?,Can you give me a verbal tutorial on how to change a tire?,Can you give me a verbal tutorial on how to change a tire?,chat,chat,complete_input
deepseek3000-02573__p020,deepseek3000-02573,train,0.20,0.250000,1,4,3,Point,Point <MASK> <MASK> <MASK>,Point to the floor.,motion_query,motion_query,motion_cue_seen
deepseek3000-02573__p040,deepseek3000-02573,train,0.40,0.500000,2,4,2,Point to,Point to <MASK> <MASK>,Point to the floor.,motion_query,motion_query,motion_cue_seen
deepseek3000-02573__p060,deepseek3000-02573,train,0.60,0.750000,3,4,1,Point to the,Point to the <MASK>,Point to the floor.,motion_query,motion_query,motion_cue_seen
deepseek3000-02573__p080,deepseek3000-02573,train,0.80,1.000000,4,4,0,Point to the floor.,Point to the floor.,Point to the floor.,motion_query,motion_query,complete_input
deepseek3000-02573__p100,deepseek3000-02573,train,1.00,1.000000,4,4,0,Point to the floor.,Point to the floor.,Point to the floor.,motion_query,motion_query,complete_input
deepseek3000-01954__p020,deepseek3000-01954,train,0.20,0.222222,2,9,7,How long,How long <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,How long does it take to cook a turkey?,chat,chat,text_cue_seen
deepseek3000-01954__p040,deepseek3000-01954,train,0.40,0.444444,4,9,5,How long does it,How long does it <MASK> <MASK> <MASK> <MASK> <MASK>,How long does it take to cook a turkey?,chat,chat,text_cue_seen
deepseek3000-01954__p060,deepseek3000-01954,train,0.60,0.666667,6,9,3,How long does it take to,How long does it take to <MASK> <MASK> <MASK>,How long does it take to cook a turkey?,chat,chat,text_cue_seen
deepseek3000-01954__p080,deepseek3000-01954,train,0.80,0.888889,8,9,1,How long does it take to cook a,How long does it take to cook a <MASK>,How long does it take to cook a turkey?,chat,chat,text_cue_seen
deepseek3000-01954__p100,deepseek3000-01954,train,1.00,1.000000,9,9,0,How long does it take to cook a turkey?,How long does it take to cook a turkey?,How long does it take to cook a turkey?,chat,chat,complete_input
deepseek3000-01448__p020,deepseek3000-01448,train,0.20,0.250000,2,8,6,How do,How do <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,How do I prevent my phone from overheating?,chat,chat,text_cue_seen
deepseek3000-01448__p040,deepseek3000-01448,train,0.40,0.500000,4,8,4,How do I prevent,How do I prevent <MASK> <MASK> <MASK> <MASK>,How do I prevent my phone from overheating?,chat,chat,text_cue_seen
deepseek3000-01448__p060,deepseek3000-01448,train,0.60,0.625000,5,8,3,How do I prevent my,How do I prevent my <MASK> <MASK> <MASK>,How do I prevent my phone from overheating?,chat,chat,text_cue_seen
deepseek3000-01448__p080,deepseek3000-01448,train,0.80,0.875000,7,8,1,How do I prevent my phone from,How do I prevent my phone from <MASK>,How do I prevent my phone from overheating?,chat,chat,text_cue_seen
deepseek3000-01448__p100,deepseek3000-01448,train,1.00,1.000000,8,8,0,How do I prevent my phone from overheating?,How do I prevent my phone from overheating?,How do I prevent my phone from overheating?,chat,chat,complete_input
deepseek3000-02921__p020,deepseek3000-02921,train,0.20,0.285714,2,7,5,What is,What is <MASK> <MASK> <MASK> <MASK> <MASK>,What is the best way to meditate?,chat,chat,text_cue_seen
deepseek3000-02921__p040,deepseek3000-02921,train,0.40,0.428571,3,7,4,What is the,What is the <MASK> <MASK> <MASK> <MASK>,What is the best way to meditate?,chat,chat,text_cue_seen
deepseek3000-02921__p060,deepseek3000-02921,train,0.60,0.714286,5,7,2,What is the best way,What is the best way <MASK> <MASK>,What is the best way to meditate?,chat,chat,text_cue_seen
deepseek3000-02921__p080,deepseek3000-02921,train,0.80,0.857143,6,7,1,What is the best way to,What is the best way to <MASK>,What is the best way to meditate?,chat,chat,text_cue_seen
deepseek3000-02921__p100,deepseek3000-02921,train,1.00,1.000000,7,7,0,What is the best way to meditate?,What is the best way to meditate?,What is the best way to meditate?,chat,chat,complete_input
deepseek3000-02355__p020,deepseek3000-02355,train,0.20,0.200000,2,10,8,What steps,What steps <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,What steps should I follow to bake a chocolate cake?,chat,chat,text_cue_seen
deepseek3000-02355__p040,deepseek3000-02355,train,0.40,0.400000,4,10,6,What steps should I,What steps should I <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,What steps should I follow to bake a chocolate cake?,chat,chat,text_cue_seen
deepseek3000-02355__p060,deepseek3000-02355,train,0.60,0.600000,6,10,4,What steps should I follow to,What steps should I follow to <MASK> <MASK> <MASK> <MASK>,What steps should I follow to bake a chocolate cake?,chat,wait,potential_motion_ambiguity
deepseek3000-02355__p080,deepseek3000-02355,train,0.80,0.800000,8,10,2,What steps should I follow to bake a,What steps should I follow to bake a <MASK> <MASK>,What steps should I follow to bake a chocolate cake?,chat,wait,potential_motion_ambiguity
deepseek3000-02355__p100,deepseek3000-02355,train,1.00,1.000000,10,10,0,What steps should I follow to bake a chocolate cake?,What steps should I follow to bake a chocolate cake?,What steps should I follow to bake a chocolate cake?,chat,chat,complete_input
deepseek3000-02881__p020,deepseek3000-02881,train,0.20,0.250000,2,8,6,Can you,Can you <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Can you help me plan a vacation itinerary?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02881__p040,deepseek3000-02881,train,0.40,0.500000,4,8,4,Can you help me,Can you help me <MASK> <MASK> <MASK> <MASK>,Can you help me plan a vacation itinerary?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02881__p060,deepseek3000-02881,train,0.60,0.625000,5,8,3,Can you help me plan,Can you help me plan <MASK> <MASK> <MASK>,Can you help me plan a vacation itinerary?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02881__p080,deepseek3000-02881,train,0.80,0.875000,7,8,1,Can you help me plan a vacation,Can you help me plan a vacation <MASK>,Can you help me plan a vacation itinerary?,chat,chat,high_ratio_no_motion_cue
deepseek3000-02881__p100,deepseek3000-02881,train,1.00,1.000000,8,8,0,Can you help me plan a vacation itinerary?,Can you help me plan a vacation itinerary?,Can you help me plan a vacation itinerary?,chat,chat,complete_input
deepseek3000-02042__p020,deepseek3000-02042,train,0.20,0.333333,2,6,4,Tell me,Tell me <MASK> <MASK> <MASK> <MASK>,Tell me about your battery life.,chat,chat,text_cue_seen
deepseek3000-02042__p040,deepseek3000-02042,train,0.40,0.500000,3,6,3,Tell me about,Tell me about <MASK> <MASK> <MASK>,Tell me about your battery life.,chat,chat,text_cue_seen
deepseek3000-02042__p060,deepseek3000-02042,train,0.60,0.666667,4,6,2,Tell me about your,Tell me about your <MASK> <MASK>,Tell me about your battery life.,chat,chat,text_cue_seen
deepseek3000-02042__p080,deepseek3000-02042,train,0.80,0.833333,5,6,1,Tell me about your battery,Tell me about your battery <MASK>,Tell me about your battery life.,chat,chat,text_cue_seen
deepseek3000-02042__p100,deepseek3000-02042,train,1.00,1.000000,6,6,0,Tell me about your battery life.,Tell me about your battery life.,Tell me about your battery life.,chat,chat,complete_input
deepseek3000-00288__p020,deepseek3000-00288,train,0.20,0.200000,1,5,4,Turn,Turn <MASK> <MASK> <MASK> <MASK>,Turn around and face me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00288__p040,deepseek3000-00288,train,0.40,0.400000,2,5,3,Turn around,Turn around <MASK> <MASK> <MASK>,Turn around and face me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00288__p060,deepseek3000-00288,train,0.60,0.600000,3,5,2,Turn around and,Turn around and <MASK> <MASK>,Turn around and face me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00288__p080,deepseek3000-00288,train,0.80,0.800000,4,5,1,Turn around and face,Turn around and face <MASK>,Turn around and face me.,motion_query,motion_query,motion_cue_seen
deepseek3000-00288__p100,deepseek3000-00288,train,1.00,1.000000,5,5,0,Turn around and face me.,Turn around and face me.,Turn around and face me.,motion_query,motion_query,complete_input
deepseek3000-00972__p020,deepseek3000-00972,train,0.20,0.250000,1,4,3,Shake,Shake <MASK> <MASK> <MASK>,Shake my hand firmly.,motion_query,wait,motion_cue_not_seen
deepseek3000-00972__p040,deepseek3000-00972,train,0.40,0.500000,2,4,2,Shake my,Shake my <MASK> <MASK>,Shake my hand firmly.,motion_query,wait,motion_cue_not_seen
deepseek3000-00972__p060,deepseek3000-00972,train,0.60,0.750000,3,4,1,Shake my hand,Shake my hand <MASK>,Shake my hand firmly.,motion_query,wait,motion_cue_not_seen
deepseek3000-00972__p080,deepseek3000-00972,train,0.80,1.000000,4,4,0,Shake my hand firmly.,Shake my hand firmly.,Shake my hand firmly.,motion_query,motion_query,complete_input
deepseek3000-00972__p100,deepseek3000-00972,train,1.00,1.000000,4,4,0,Shake my hand firmly.,Shake my hand firmly.,Shake my hand firmly.,motion_query,motion_query,complete_input
deepseek3000-02135__p020,deepseek3000-02135,train,0.20,0.250000,2,8,6,Do you,Do you <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Do you have any tips for staying organized?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02135__p040,deepseek3000-02135,train,0.40,0.500000,4,8,4,Do you have any,Do you have any <MASK> <MASK> <MASK> <MASK>,Do you have any tips for staying organized?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02135__p060,deepseek3000-02135,train,0.60,0.625000,5,8,3,Do you have any tips,Do you have any tips <MASK> <MASK> <MASK>,Do you have any tips for staying organized?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02135__p080,deepseek3000-02135,train,0.80,0.875000,7,8,1,Do you have any tips for staying,Do you have any tips for staying <MASK>,Do you have any tips for staying organized?,chat,chat,high_ratio_no_motion_cue
deepseek3000-02135__p100,deepseek3000-02135,train,1.00,1.000000,8,8,0,Do you have any tips for staying organized?,Do you have any tips for staying organized?,Do you have any tips for staying organized?,chat,chat,complete_input
deepseek3000-02335__p020,deepseek3000-02335,train,0.20,0.250000,1,4,3,Turn,Turn <MASK> <MASK> <MASK>,Turn the light on.,motion_query,motion_query,motion_cue_seen
deepseek3000-02335__p040,deepseek3000-02335,train,0.40,0.500000,2,4,2,Turn the,Turn the <MASK> <MASK>,Turn the light on.,motion_query,motion_query,motion_cue_seen
deepseek3000-02335__p060,deepseek3000-02335,train,0.60,0.750000,3,4,1,Turn the light,Turn the light <MASK>,Turn the light on.,motion_query,motion_query,motion_cue_seen
deepseek3000-02335__p080,deepseek3000-02335,train,0.80,1.000000,4,4,0,Turn the light on.,Turn the light on.,Turn the light on.,motion_query,motion_query,complete_input
deepseek3000-02335__p100,deepseek3000-02335,train,1.00,1.000000,4,4,0,Turn the light on.,Turn the light on.,Turn the light on.,motion_query,motion_query,complete_input
deepseek3000-02429__p020,deepseek3000-02429,train,0.20,0.285714,2,7,5,My phone,My phone <MASK> <MASK> <MASK> <MASK> <MASK>,My phone won't turn on. Any ideas?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02429__p040,deepseek3000-02429,train,0.40,0.428571,3,7,4,My phone won't,My phone won't <MASK> <MASK> <MASK> <MASK>,My phone won't turn on. Any ideas?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02429__p060,deepseek3000-02429,train,0.60,0.714286,5,7,2,My phone won't turn on.,My phone won't turn on. <MASK> <MASK>,My phone won't turn on. Any ideas?,chat,wait,potential_motion_ambiguity
deepseek3000-02429__p080,deepseek3000-02429,train,0.80,0.857143,6,7,1,My phone won't turn on. Any,My phone won't turn on. Any <MASK>,My phone won't turn on. Any ideas?,chat,wait,potential_motion_ambiguity
deepseek3000-02429__p100,deepseek3000-02429,train,1.00,1.000000,7,7,0,My phone won't turn on. Any ideas?,My phone won't turn on. Any ideas?,My phone won't turn on. Any ideas?,chat,chat,complete_input
deepseek3000-01789__p020,deepseek3000-01789,train,0.20,0.285714,2,7,5,Catch the,Catch the <MASK> <MASK> <MASK> <MASK> <MASK>,Catch the ball when I throw it.,motion_query,wait,motion_cue_not_seen
deepseek3000-01789__p040,deepseek3000-01789,train,0.40,0.428571,3,7,4,Catch the ball,Catch the ball <MASK> <MASK> <MASK> <MASK>,Catch the ball when I throw it.,motion_query,wait,motion_cue_not_seen
deepseek3000-01789__p060,deepseek3000-01789,train,0.60,0.714286,5,7,2,Catch the ball when I,Catch the ball when I <MASK> <MASK>,Catch the ball when I throw it.,motion_query,wait,motion_cue_not_seen
